,Open,High,Low,Close,Volume
2025-04-08 09:15:00,22446.75,22446.75,22270.849609375,22446.75,7805.0
2025-04-08 09:20:00,22446.75,22455.057890783493,22446.75,22455.057890783493,7805.0
2025-04-08 09:25:00,22455.057890783493,22463.2887605935,22455.057890783493,22463.2887605935,7805.0
2025-04-08 09:30:00,22463.2887605935,22471.366461134938,22463.2887605935,22471.366461134938,7805.0
2025-04-08 09:35:00,22471.366461134938,22479.21657958175,22471.366461134938,22479.21657958175,7805.0
2025-04-08 09:40:00,22479.21657958175,22486.767281703942,22479.21657958175,22486.767281703942,7805.0
2025-04-08 09:45:00,22486.767281703942,22493.950125778112,22486.767281703942,22493.950125778112,7805.0
2025-04-08 09:50:00,22493.950125778112,22500.70083805954,22493.950125778112,22500.70083805954,7805.0
2025-04-08 09:55:00,22500.70083805954,22506.960041029382,22500.70083805954,22506.960041029382,7805.0
2025-04-08 10:00:00,22506.960041029382,22512.673926165702,22506.960041029382,22512.673926165702,7805.0
2025-04-08 10:05:00,22512.673926165702,22517.79486361551,22512.673926165702,22517.79486361551,7805.0
2025-04-08 10:10:00,22517.79486361551,22522.281941860023,22517.79486361551,22522.281941860023,7805.0
2025-04-08 10:15:00,22522.281941860023,22526.101431258554,22522.281941860023,22526.101431258554,7805.0
2025-04-08 10:20:00,22526.101431258554,22529.22716621877,22526.101431258554,22529.22716621877,7805.0
2025-04-08 10:25:00,22529.22716621877,22531.640841663357,22529.22716621877,22531.640841663357,7805.0
2025-04-08 10:30:00,22531.640841663357,22533.33222043383,22531.640841663357,22533.33222043383,7805.0
2025-04-08 10:35:00,22533.33222043383,22534.299249281627,22533.33222043383,22534.299249281627,7805.0
2025-04-08 10:40:00,22534.299249281627,22534.54808213226,22534.299249281627,22534.54808213226,7805.0
2025-04-08 10:45:00,22534.54808213226,22534.54808213226,22534.09301035885,22534.09301035885,7805.0
2025-04-08 10:50:00,22534.09301035885,22534.09301035885,22532.956300855196,22532.956300855196,7805.0
2025-04-08 10:55:00,22532.956300855196,22532.956300855196,22531.16794374293,22531.16794374293,7805.0
