,Open,High,Low,Close,Volume
2024-04-08 09:15:00,22578.349609375,22578.349609375,22550.349609375,22578.349609375,3793.3333333333335
2024-04-08 09:20:00,22578.349609375,22582.183300045173,22578.349609375,22582.183300045173,3793.3333333333335
2024-04-08 09:25:00,22582.183300045173,22585.990443670238,22582.183300045173,22585.990443670238,3793.3333333333335
2024-04-08 09:30:00,22585.990443670238,22589.74479399371,22585.990443670238,22589.74479399371,3793.3333333333335
2024-04-08 09:35:00,22589.74479399371,22593.420702928313,22589.74479399371,22593.420702928313,3793.3333333333335
2024-04-08 09:40:00,22593.420702928313,22596.99341115905,22593.420702928313,22596.99341115905,3793.3333333333335
2024-04-08 09:45:00,22596.99341115905,22600.439328676126,22596.99341115905,22600.439328676126,3793.3333333333335
2024-04-08 09:50:00,22600.439328676126,22603.736302059202,22600.439328676126,22603.736302059202,3793.3333333333335
2024-04-08 09:55:00,22603.736302059202,22606.8638654845,22603.736302059202,22606.8638654845,3793.3333333333335
2024-04-08 10:00:00,22606.8638654845,22609.80347261075,22606.8638654845,22609.80347261075,3793.3333333333335
2024-04-08 10:05:00,22609.80347261075,22612.538706716645,22609.80347261075,22612.538706716645,3793.3333333333335
2024-04-08 10:10:00,22612.538706716645,22615.055466708865,22612.538706716645,22615.055466708865,3793.3333333333335
2024-04-08 10:15:00,22615.055466708865,22617.342126893116,22615.055466708865,22617.342126893116,3793.3333333333335
2024-04-08 10:20:00,22617.342126893116,22619.389668697844,22617.342126893116,22619.389668697844,3793.3333333333335
2024-04-08 10:25:00,22619.389668697844,22621.191782858295,22619.389668697844,22621.191782858295,3793.3333333333335
2024-04-08 10:30:00,22621.191782858295,22622.74494090299,22621.191782858295,22622.74494090299,3793.3333333333335
2024-04-08 10:35:00,22622.74494090299,22624.048435132725,22622.74494090299,22624.048435132725,3793.3333333333335
2024-04-08 10:40:00,22624.048435132725,22625.104386639076,22624.048435132725,22625.104386639076,3793.3333333333335
2024-04-08 10:45:00,22625.104386639076,22625.917721271584,22625.104386639076,22625.917721271584,3793.3333333333335
2024-04-08 10:50:00,22625.917721271584,22626.496113825913,22625.917721271584,22626.496113825913,3793.3333333333335
2024-04-08 10:55:00,22626.496113825913,22626.84990108537,22626.496113825913,22626.84990108537,3793.3333333333335
2024-04-08 11:00:00,22626.84990108537,22626.99196470098,22626.84990108537,22626.99196470098,3793.3333333333335
2024-04-08 11:05:00,22626.99196470098,22626.99196470098,22626.937585237265,22626.937585237265,3793.3333333333335
2024-04-08 11:10:00,22626.937585237265,22626.937585237265,22626.70426903732,22626.70426903732,3793.3333333333335
2024-04-08 11:15:00,22626.70426903732,22626.70426903732,22626.311549868966,22626.311549868966,3793.3333333333335
2024-04-08 11:20:00,22626.311549868966,22626.311549868966,22625.780767599357,22625.780767599357,3793.3333333333335
2024-04-08 11:25:00,22625.780767599357,22625.780767599357,22625.13482640575,22625.13482640575,3793.3333333333335
2024-04-08 11:30:00,22625.13482640575,22625.13482640575,22624.397935262008,22624.397935262008,3793.3333333333335
2024-04-08 11:35:00,22624.397935262008,22624.397935262008,22623.595333641293,22623.595333641293,3793.3333333333335
2024-04-08 11:40:00,22623.595333641293,22623.595333641293,22622.753005542723,22622.753005542723,3793.3333333333335
2024-04-08 11:45:00,22622.753005542723,22622.753005542723,22621.897385082277,22621.897385082277,3793.3333333333335
2024-04-08 11:50:00,22621.897385082277,22621.897385082277,22621.055056983707,22621.055056983707,3793.3333333333335
2024-04-08 11:55:00,22621.055056983707,22621.055056983707,22620.252455362992,22620.252455362992,3793.3333333333335
2024-04-08 12:00:00,22620.252455362992,22620.252455362992,22619.51556421925,22619.51556421925,3793.3333333333335
2024-04-08 12:05:00,22619.51556421925,22619.51556421925,22618.869623025643,22618.869623025643,3793.3333333333335
2024-04-08 12:10:00,22618.869623025643,22618.869623025643,22618.338840756034,22618.338840756034,3793.3333333333335
2024-04-08 12:15:00,22618.338840756034,22618.338840756034,22617.94612158768,22617.94612158768,3793.3333333333335
2024-04-08 12:20:00,22617.94612158768,22617.94612158768,22617.712805387735,22617.712805387735,3793.3333333333335
2024-04-08 12:25:00,22617.712805387735,22617.712805387735,22617.65842592402,22617.65842592402,3793.3333333333335
2024-04-08 12:30:00,22617.65842592402,22617.80048953963,22617.65842592402,22617.80048953963,3793.3333333333335
2024-04-08 12:35:00,22617.80048953963,22618.154276799087,22617.80048953963,22618.154276799087,3793.3333333333335
2024-04-08 12:40:00,22618.154276799087,22618.732669353416,22618.154276799087,22618.732669353416,3793.3333333333335
2024-04-08 12:45:00,22618.732669353416,22619.546003985924,22618.732669353416,22619.546003985924,3793.3333333333335
2024-04-08 12:50:00,22619.546003985924,22620.601955492275,22619.546003985924,22620.601955492275,3793.3333333333335
2024-04-08 12:55:00,22620.601955492275,22621.90544972201,22620.601955492275,22621.90544972201,3793.3333333333335
2024-04-08 13:00:00,22621.90544972201,22623.458607766705,22621.90544972201,22623.458607766705,3793.3333333333335
2024-04-08 13:05:00,22623.458607766705,22625.260721927156,22623.458607766705,22625.260721927156,3793.3333333333335
2024-04-08 13:10:00,22625.260721927156,22627.308263731884,22625.260721927156,22627.308263731884,3793.3333333333335
2024-04-08 13:15:00,22627.308263731884,22629.594923916135,22627.308263731884,22629.594923916135,3793.3333333333335
2024-04-08 13:20:00,22629.594923916135,22632.111683908355,22629.594923916135,22632.111683908355,3793.3333333333335
2024-04-08 13:25:00,22632.111683908355,22634.84691801425,22632.111683908355,22634.84691801425,3793.3333333333335
2024-04-08 13:30:00,22634.84691801425,22637.7865251405,22634.84691801425,22637.7865251405,3793.3333333333335
2024-04-08 13:35:00,22637.7865251405,22640.914088565798,22637.7865251405,22640.914088565798,3793.3333333333335
2024-04-08 13:40:00,22640.914088565798,22644.211061948874,22640.914088565798,22644.211061948874,3793.3333333333335
2024-04-08 13:45:00,22644.211061948874,22647.65697946595,22644.211061948874,22647.65697946595,3793.3333333333335
2024-04-08 13:50:00,22647.65697946595,22651.229687696687,22647.65697946595,22651.229687696687,3793.3333333333335
2024-04-08 13:55:00,22651.229687696687,22654.90559663129,22651.229687696687,22654.90559663129,3793.3333333333335
2024-04-08 14:00:00,22654.90559663129,22658.659946954762,22654.90559663129,22658.659946954762,3793.3333333333335
2024-04-08 14:05:00,22658.659946954762,22662.467090579827,22658.659946954762,22662.467090579827,3793.3333333333335
2024-04-08 14:10:00,22662.467090579827,22697.30078125,22662.467090579827,22666.30078125,3793.3333333333335
